period,transit_epoch_bjd,transit_duration_hrs,transit_depth_ppm,planet_radius_earth,star_radius_sol,star_teff,star_logg,disposition_text,source,target_encoded
10.8484518,171.80584,2.9993,1675.6,2.34,0.591,4201.0,4.682,CONFIRMED,Kepler,1
6.66833241,137.43988,1.915,362.3,1.18,0.591,4201.0,4.682,CONFIRMED,Kepler,1
4.082274889,169.6375652,3.23015,17859.0,10.55,0.794,5655.0,4.581,CONFIRMED,Kepler,1
3.886655224,169.73814,3.1646,581.6,1.87,0.738,5662.0,4.61,CANDIDATE,Kepler,1
4.617490562,135.04909,2.2618,575.8,1.62,0.646,4500.0,4.656,CONFIRMED,Kepler,1
10.19849255,137.92067,2.4283,634.1,1.75,0.646,4500.0,4.656,CONFIRMED,Kepler,1
5.795063956,172.697467,3.2496,1692.9,4.33,0.827,5865.0,4.563,FALSE POSITIVE,Kepler,0
7.15681552,174.13511,2.5882,867.0,2.47,0.838,5029.0,4.494,CONFIRMED,Kepler,1
17.64830851,133.54533,2.0873,763.3,2.43,0.838,5029.0,4.494,CONFIRMED,Kepler,1
4.14810719,133.3881,2.535,175.2,1.08,0.838,5029.0,4.494,CONFIRMED,Kepler,1
16.51410989,176.11686,4.1575,973.5,2.72,0.866,5527.0,4.488,CONFIRMED,Kepler,1
30.1329298,190.38336,5.172,1015.8,3.14,0.866,5527.0,4.488,CONFIRMED,Kepler,1
4.79090809,136.31106,2.603,251.3,1.36,0.866,5527.0,4.488,CONFIRMED,Kepler,1
31.71981013,142.82083,4.819,363.4,3.09,1.626,5869.0,4.024,CONFIRMED,Kepler,1
4.708326451,171.446507,3.16114,7912.7,10.6,1.21,5560.0,4.246,CONFIRMED,Kepler,1
5.392026903,171.72707,2.9804,1151.4,2.68,0.801,5198.0,4.589,CONFIRMED,Kepler,1
2.494170338,170.852848,1.1221,863.7,2.42,0.829,5569.0,4.566,CANDIDATE,Kepler,1
6.491682808,174.633553,4.301,7163.3,9.66,1.107,6123.0,4.413,CONFIRMED,Kepler,1
3.855603916,170.6787843,3.2179,16653.0,13.61,1.046,6033.0,4.46,CONFIRMED,Kepler,1
3.855599139,170.67957,3.183,1030.9,3.57,0.965,5936.0,4.501,FALSE POSITIVE,Kepler,0
3.314947362,171.313058,1.8007,1398.2,3.94,0.944,5609.0,4.481,CONFIRMED,Kepler,1
6.71969089,173.35776,3.0231,969.7,4.37,0.866,5931.0,4.479,FALSE POSITIVE,Kepler,0
21.80451611,190.49737,3.4097,1144.9,2.6,0.708,5481.0,4.629,CONFIRMED,Kepler,1
10.28194593,175.33988,3.4366,1110.7,2.53,0.775,5196.0,4.593,CONFIRMED,Kepler,1
18.11993039,182.61535,4.2309,1506.9,2.95,0.775,5196.0,4.593,CONFIRMED,Kepler,1
3.78402867,133.28133,1.9012,426.1,1.7,0.775,5196.0,4.593,CONFIRMED,Kepler,1
5.15448142,171.6389,3.228,697.5,2.94,0.884,5431.0,4.457,CONFIRMED,Kepler,1
5.743469797,174.898924,3.4412,1240.2,3.13,0.891,5897.0,4.531,CONFIRMED,Kepler,1
39.4759093,173.31207,2.968,1012.6,4.06,1.031,6225.0,4.45,CANDIDATE,Kepler,1
3.166353562,170.966145,3.3129,1473.4,3.82,0.998,6007.0,4.47,CONFIRMED,Kepler,1
3.388012244,170.5336,2.6849,280.1,2.11,1.25,5553.0,4.221,CONFIRMED,Kepler,1
5.83909761,132.09261,3.1915,273.6,2.06,1.25,5553.0,4.221,CONFIRMED,Kepler,1
1.620467654,132.06388,2.1888,159.6,1.57,1.25,5553.0,4.221,CONFIRMED,Kepler,1
10.6816951,131.55082,3.605,307.8,2.3,1.25,5553.0,4.221,CONFIRMED,Kepler,1
6.104849417,169.573477,4.6912,2090.3,3.18,0.712,5085.0,4.584,CONFIRMED,Kepler,1
3.578780566,134.0304187,2.91089,11382.0,10.43,0.994,5524.0,4.421,CONFIRMED,Kepler,1
3.187067566,171.64976,3.119,1037.4,23.88,0.811,5450.0,4.552,FALSE POSITIVE,Kepler,0
5.826657508,173.011411,2.9183,1539.1,4.09,1.06,5561.0,4.362,CONFIRMED,Kepler,1
12.41216347,142.54039,3.739,611.3,2.58,1.06,5561.0,4.362,CONFIRMED,Kepler,1
18.74649011,147.13074,3.895,796.8,3.05,1.06,5561.0,4.362,CONFIRMED,Kepler,1
20.86021229,180.017757,5.1937,1910.5,5.5,1.257,6035.0,4.22,CONFIRMED,Kepler,1
9.61731426,142.47479,3.8692,234.0,1.94,1.257,6035.0,4.22,CANDIDATE,Kepler,1
9.467821474,178.415842,2.4327,2237.0,2.13,0.458,3582.0,4.807,CONFIRMED,Kepler,1
0.893040969,134.540342,1.0981,741.7,1.24,0.458,3582.0,4.807,CONFIRMED,Kepler,1
4.942783419,136.3294353,3.25346,11145.0,10.62,0.978,5514.0,4.459,CONFIRMED,Kepler,1
20.83426731,176.58569,4.0454,988.4,2.74,0.88,5537.0,4.549,CONFIRMED,Kepler,1
9.94602357,171.70192,3.3862,994.5,3.12,1.013,5344.0,4.365,CONFIRMED,Kepler,1
1.04562195,133.91912,1.8955,213.0,1.45,1.013,5344.0,4.365,CONFIRMED,Kepler,1
5.71462396,132.63866,2.336,297.8,1.78,1.013,5344.0,4.365,CONFIRMED,Kepler,1
8.14515981,140.56811,5.073,446.8,3.43,1.24,5896.0,4.197,CONFIRMED,Kepler,1
4.24439049,137.06643,3.282,174.0,2.07,1.24,5896.0,4.197,CONFIRMED,Kepler,1
28.5742692,143.8315,4.9427,824.9,2.32,0.812,5551.0,4.508,CONFIRMED,Kepler,1
0.689210173,133.28584,1.6169,195.0,1.32,0.954,5630.0,4.505,CANDIDATE,Kepler,1
7.34373964,137.29874,1.1784,574.4,1.84,0.762,5757.0,4.597,CONFIRMED,Kepler,1
